reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,10465.789527095596,18162,231
25125e9bb305fafd51ceb2858d355f77da99550b933ec0923cd156ff,860.9123198701035,1494,24
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,679.394662066166,1179,15
6046c5e3b85ccd994f368ab6d48da404b66414d44b0aaf23e07a518b,658.6497868885732,1143,15
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,423.5412015425208,735,6
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,418.3549827481226,726,9
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,283.51329409376905,492,6
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,255.85346052364523,444,6
44b2deef011d6ff6325e20a8f49384080432069545b9f85c790011c0,145.21412624315,252,3
a114bdae50d9c9fc0b56b0ba2029e10dc60b1e00c6b4606ed757fe5b,143.48538664501726,249,3
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,143.48538664501726,249,3
3d558a4a808c594bc27e15762085b911fe489bbdcaf443fa37711585,143.48538664501726,249,3
d5547b3af96c83e0b06826307469e4f303b852b98e86e426efb6dfdd,141.75664704688452,246,3
877413f0eb5b4d1a6a830d82bc5df97c3d132f056218ecc02678c0f2,141.75664704688452,246,3
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,140.02790744875176,243,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,138.29916785061903,240,3
f4e1fbd2169b13b3eebc5b35b7f9ef24b5f6c2f266d2c13ef83cd082,136.5704282524863,237,3
650c004ca08a178afcc78501ac55143391c8981480a675ed20cdcc75,136.5704282524863,237,3
31a83e600597f604c68d97d155da012df526ca6f1839441231984af7,136.5704282524863,237,3
41b3b1c6413f304fdd07adb63a19d5e0d3c44c9b6209a2f21a72f5d6,134.84168865435356,234,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,133.11294905622083,231,3
da505dbbc7dfe2c1097c6fea30d703fef6103fc26741f91aefd32ed4,131.3842094580881,228,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,131.3842094580881,228,3
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,117.55429267302618,204,3
76a5ac702856a627f99a2e192c121e83fcad7f05beecad685ff88c67,112.36807387862797,195,3
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,112.36807387862797,195,3
8d5243d701bd906ebef88a1c52a15a05a2c62f3ccdb923faafcc6c18,93.35193829916786,162,3
a6e8b8cc5fb4d6aed794b71288e50ea16f0580df7b71d91671309b4a,82.97950071037143,144,3
64e37562f190ae58127b0b81492ee62cfab836a67717a6a199af71ca,82.97950071037143,144,3
40e3c0978d05b13caa55e714d80951a8d88ea8a0cd45ce165c589ba1,69.14958392530951,120,0
80c6925f153fab19a8534f181b01c4a55f6dd99a65e07a2c1043609b,53.590927542114876,93,0
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,47.82846221500575,83,1
77b14edabce33458b6a458297af141382701edf06e3ea494a12641bf,42.642243420607535,74,1
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,39.76101075705297,69,0
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,29.388573168256546,51,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,27.083587037412894,47,1
