reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,11356.696859504133,1989,228
25125e9bb305fafd51ceb2858d355f77da99550b933ec0923cd156ff,719.4287603305785,126,15
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,685.1702479338843,120,15
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,616.6532231404958,108,12
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,428.2314049586777,75,9
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,325.45586776859506,57,6
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,308.3266115702479,54,6
6046c5e3b85ccd994f368ab6d48da404b66414d44b0aaf23e07a518b,222.68033057851238,39,6
d5547b3af96c83e0b06826307469e4f303b852b98e86e426efb6dfdd,171.29256198347107,30,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,171.29256198347107,30,3
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,171.29256198347107,30,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,171.29256198347107,30,3
31a83e600597f604c68d97d155da012df526ca6f1839441231984af7,171.29256198347107,30,3
f4e1fbd2169b13b3eebc5b35b7f9ef24b5f6c2f266d2c13ef83cd082,154.16330578512395,27,3
da505dbbc7dfe2c1097c6fea30d703fef6103fc26741f91aefd32ed4,154.16330578512395,27,3
b8e698507cd7b1aeb5b6b17d5b505278717b757d68f17b53810aafc2,154.16330578512395,27,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,154.16330578512395,27,3
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,154.16330578512395,27,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,154.16330578512395,27,3
650c004ca08a178afcc78501ac55143391c8981480a675ed20cdcc75,137.03404958677686,24,3
41b3b1c6413f304fdd07adb63a19d5e0d3c44c9b6209a2f21a72f5d6,137.03404958677686,24,3
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,137.03404958677686,24,3
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,119.90479338842975,21,3
76a5ac702856a627f99a2e192c121e83fcad7f05beecad685ff88c67,68.51702479338843,12,0
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,68.51702479338843,12,0
40e3c0978d05b13caa55e714d80951a8d88ea8a0cd45ce165c589ba1,51.38776859504132,9,0
77b14edabce33458b6a458297af141382701edf06e3ea494a12641bf,45.67801652892562,8,1
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,39.96826446280992,7,1
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,17.129256198347107,3,0
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,5.709752066115702,1,0
