reward_address,reward,total_weights,total_tokens
c50fb7c1b763c2bff1daf1d678941ba8e61066a1feba27660a120033,11160.773689889353,32394,237
65d569cce3ff9964ab5f4be91ffb2a11f7d7c9c16793a204aed7fda2,1347.8096769416295,3912,27
37d5b264986b09394746485e53fdb87bafebd316fc34069e0e96b92c,706.9799225675418,2052,15
8a92cbbb482843587e1ef46b4836ed2a916e25fc97889f6dc499a782,471.31994837836123,1368,9
454ad3a4b91e8a983838d8909b5c875e320eb3600698b97f919e8f7a,426.8753041233842,1239,9
a1d64aa969a5fcb17141d692f3bd3d98613939f641d527eda110d774,282.1718112002031,819,6
Bis1Lgev7fKKSMK8GtvmxQ6axoAqU9AC1bciE,154.00586032538558,447,3
3411bf287e7e30326c82b6f152c2712857598d14454daad42d93fd6a,154.00586032538558,447,3
8a78988f11ba7ab48fe68d9892d7b94d15f446838318be855a8e953b,151.93866756934014,441,3
1cdb71bd71efa771b6a6c82d6206a35ca12c3b128fe3ae9cb0183aaf,146.77068567922652,426,3
40d4401ff00a6a311e9672c11b806613da4d4fe36627b9d5770a5d1b,143.66989654515837,417,3
7b024421dddd7386b330eef8ba29aad7c760218f02eba7c14f0e2974,142.63630016713563,414,3
3a3ce4220e7fb1748426b8b3b292e0e9b69193484e1c6d5c79b39942,142.63630016713563,414,3
b8e698507cd7b1aeb5b6b17d5b505278717b757d68f17b53810aafc2,140.5691074110902,408,3
Bis1ctnKxRYxyiPm6DPECpe9X4hWVkPNSsagj,139.53551103306748,405,3
6046c5e3b85ccd994f368ab6d48da404b66414d44b0aaf23e07a518b,139.53551103306748,405,3
Bis1TuBsovjuRTEP7C9wuHgp6A4ic8D7a75fD,137.46831827702204,399,3
139c039e283b36f1871aa7509e31cf318a2b59ec51d2293a5a04a85f,131.2667400088857,381,3
Bis1PGTBDNezvbYfPWBJ3hsUHfqgrMjbhdqFb,90.95648126599953,264,2
c751c0650c44086d782a16677eb1476e9d5c43c2db19d80b1a942e91,46.511837011022486,135,1
2d2318305562e2339554aaaf199150e34f79de5f2ac57b53db55d00a,22.39458819049231,65,0
b7c4ddca8df8e86febf58e84388a7a1de08afd69bdbdd9456fab9b4f,5.16798189011361,15,0
